year,spending
1964,1477.24
1965,1594.359
1966,1927.392
1967,2547.715
1968,2840.767
1969,3397.523
1970,3494.054
1971,3975.054
1972,4566.547
1973,5315.247
1974,5826.606
1975,5866.415
1976,6743.127
1977,7195.465
1978,7829.042
1979,8325.229
1980,8425.54
1981,8489.31
1982,9238.216
1983,9436.717
1984,10458.029
1985,10897.69
1986,12398.885
1987,13317.93
1988,15634.201
1989,15840.143
1990,15353.971
1991,14826.769
1992,13525.316
1993,11881.734
1994,14130.24
1995,14585.595
1996,13652.596
1997,14312.937
1998,14077.942
1999,13842.511
2000,14365.545
2001,12176.162
2002,12792.689
2003,13061.811
2004,13682.722
2005,14405.727
2006,14314.682
2007,14013.094
2008,11943.935
2009,10398.89
2010,11294.807
2011,12070.259
